FORWARD_TEXT_FORMAT_1.0
STDEP =   290.0000
ENDEP =  2716.0000
RLEV  =     0.1250
CURVENAME =  RT, RI, RXO, CALI, AC, GR, DEN, CNL, R025, RA2, BZSP, R2M, SP
END
#DEPTH            RT         RI        RXO       CALI         AC         GR        DEN        CNL       R025        RA2       BZSP        R2M         SP
 296.3750       1.559      1.264      0.502    -46.558     75.885      2.234    167.000    218.750      4.064      8.608      3.158      8.608      3.158
 296.5000       1.588      1.298      0.507    -46.353     73.423      2.234    167.000    218.750      3.979      8.712      3.000      8.712      3.000
 296.6250       1.608      1.313      0.511    -45.954     70.727      2.234    167.000    218.750      3.878      8.739      2.853      8.739      2.853
 296.7500       1.592      1.311      0.514    -45.656     70.864      2.234    167.000    218.750      3.808      8.498      2.726      8.498      2.726
 296.8750       1.601      1.321      0.518    -45.571     71.121      2.234    167.000    218.750      3.793      8.005      2.615      8.005      2.615
 297.0000       1.679      1.382      0.523    -45.663     71.671      2.234    167.000    218.750      3.807      7.667      2.476      7.667      2.476
 297.1250       1.854      1.539      0.528    -45.783     75.324      2.234    167.000    218.750      3.860      7.691      2.333      7.691      2.333
 297.2500       2.184      1.819      0.537    -45.809     82.863      2.234    167.000    218.750      3.969      7.937      2.214      7.937      2.214
 297.3750       2.596      2.057      0.548    -45.988     91.281      2.234    167.000    218.750      4.097      8.170      2.089      8.170      2.089
 297.5000       3.132      2.392      0.551    -46.046     96.962      2.234    167.000    218.750      4.165      8.408      1.954      8.408      1.954
 297.6250       3.596      2.745      0.551    -45.999     98.559      2.234    167.000    218.750      4.129      8.810      1.825      8.810      1.825
 297.7500       3.778      2.959      0.551    -45.958     97.004      2.234    167.000    218.750      3.983      9.447      1.689      9.447      1.689
 297.8750       3.577      2.838      0.553    -46.060     96.388      2.234    167.000    218.750      3.732     10.036      1.566     10.036      1.566
 298.0000       3.494      2.824      0.540    -46.364     95.672      2.234    165.500    273.250      3.464     10.033      1.470     10.033      1.470
 298.1250       3.517      2.886      0.532    -46.593     94.214      2.234    165.500    273.250      3.244      9.142      1.364      9.142      1.364
 298.2500       3.507      2.900      0.527    -46.785     95.407      2.234    165.500    273.250      3.115      7.581      1.250      7.581      1.250
 298.3750       3.448      2.849      0.520    -47.005     98.288      2.234    165.500    273.250      3.069      6.112      1.154      6.112      1.154
 298.5000       3.406      2.792      0.511    -47.289     99.671      2.234    165.500    273.250      3.056      5.363      1.076      5.363      1.076
 298.6250       3.376      2.751      0.504    -47.366    101.927      2.234    165.500    273.250      3.086      5.408      1.022      5.408      1.022
 298.7500       3.267      2.672      0.500    -47.284    102.414      2.234    165.500    273.250      3.166      5.927      0.982      5.927      0.982
 298.8750       3.063      2.547      0.499    -47.301     95.123      2.234    165.500    273.250      3.283      6.461      0.933      6.461      0.933
 299.0000       2.792      2.373      0.499    -47.344     86.123      2.234    165.500    273.250      3.409      6.806      0.869      6.806      0.869
 299.1250       2.536      2.167      0.499    -47.291     79.673      2.234    165.500    273.250      3.528      7.011      0.814      7.011      0.814
 299.2500       2.433      1.972      0.501    -47.061     73.375      2.234    165.500    273.250      3.632      7.183      0.775      7.183      0.775
 299.3750       2.225      1.799      0.502    -46.804     81.427      2.234    165.500    273.250      3.716      7.409      0.729      7.409      0.729
 299.5000       2.058      1.662      0.503    -46.507     83.125      2.234    165.500    273.250      3.791      7.687      0.677      7.687      0.677
 299.6250       1.936      1.560      0.506    -46.141     83.154      2.234    165.500    273.250      3.855      7.970      0.597      7.970      0.597
 299.7500       1.850      1.494      0.509    -45.839     82.412      2.234    165.500    273.250      3.901      8.180      0.488      8.180      0.488
 299.8750       1.789      1.462      0.507    -45.750     80.398      2.234    165.500    273.250      3.918      8.255      0.358      8.255      0.358
 300.0000       1.780      1.440      0.508    -45.750     79.629      2.234    143.000    141.000      3.920      8.230      0.237      8.230      0.237
 300.1250       1.769      1.429      0.508    -45.891     78.156      2.234    137.000    141.000      3.906      8.111      0.140      8.111      0.140
 300.2500       1.767      1.435      0.508    -45.991     78.255      2.234    130.000    133.000      3.887      7.892      0.067      7.892      0.067
 300.3750       1.799      1.469      0.508    -46.080     82.032      2.234    130.000    125.000      3.860      7.609      0.032      7.609      0.032
 300.5000       1.892      1.541      0.507    -46.189     88.914      2.234    132.000    124.000      3.839      7.314      0.015      7.314      0.015
 300.6250       2.063      1.654      0.507    -46.313     95.150      2.234    135.000    125.000      3.838      7.021      0.021      7.021      0.021
 300.7500       2.088      1.666      0.508    -46.313     99.406      2.234    142.000    129.000      3.860      6.780      0.061      6.780      0.061
 300.8750       2.092      1.665      0.506    -46.417     99.518      2.234    144.000    131.000      3.897      6.714      0.122      6.714      0.122
 301.0000       2.069      1.655      0.506    -46.653     95.877      2.234    137.000    132.000      3.937      6.869      0.177      6.869      0.177
 301.1250       1.976      1.599      0.507    -46.951     88.648      2.234    132.000    133.000      3.949      7.231      0.214      7.231      0.214
 301.2500       1.808      1.485      0.508    -47.196     79.174      2.234    136.000    132.000      3.944      7.683      0.232      7.683      0.232
 301.3750       1.703      1.418      0.509    -47.247     72.456      2.234    139.000    132.000      3.959      8.005      0.210      8.005      0.210
 301.5000       1.682      1.409      0.512    -47.298     66.293      2.234    135.000    133.000      3.970      8.113      0.155      8.113      0.155
 301.6250       1.651      1.395      0.511    -47.331     67.290      2.234    129.000    135.000      3.963      8.074      0.077      8.074      0.077
 301.7500       1.644      1.380      0.513    -47.267     70.162      2.234    131.000    133.000      3.942      7.976     -0.012      7.976     -0.012
 301.8750       1.696      1.405      0.518    -47.163     71.981      2.234    135.000    128.000      3.917      7.876     -0.083      7.876     -0.083
 302.0000       1.825      1.532      0.521    -47.183     73.968      2.234    135.000    126.000      3.884      7.833     -0.122      7.833     -0.122
 302.1250       2.091      1.779      0.527    -47.106     83.455      2.234    136.000    123.000      3.845      7.845     -0.162      7.845     -0.162
 302.2500       2.494      2.115      0.533    -46.791     90.173      2.234    133.000    117.000      3.815      7.829     -0.220      7.829     -0.220
 302.3750       3.009      2.493      0.536    -46.464    101.346      2.234    125.000    114.000      3.798      7.685     -0.252      7.685     -0.252
 302.5000       3.434      2.843      0.538    -46.177    108.229      2.234    124.000    114.000      3.783      7.484     -0.253      7.484     -0.253
 302.6250       3.563      3.053      0.540    -45.926    105.206      2.232    132.000    114.000      3.761      7.316     -0.236      7.316     -0.236
 302.7500       3.305      2.923      0.547    -45.696    105.309      2.232    128.000    117.000      3.733      7.194     -0.213      7.194     -0.213
 302.8750       3.191      2.831      0.547    -45.564     93.982      2.232    122.000    119.000      3.704      7.050     -0.207      7.050     -0.207
 303.0000       3.092      2.773      0.546    -45.665     88.513      2.232    123.000    117.000      3.676      6.836     -0.207      6.836     -0.207
 303.1250       3.102      2.803      0.546    -45.818     83.990      2.232    119.000    115.000      3.661      6.568     -0.212      6.568     -0.212
 303.2500       3.230      2.933      0.545    -45.922     82.309      2.232    112.000    112.000      3.662      6.345     -0.232      6.345     -0.232
 303.3750       3.403      3.126      0.536    -45.969     89.533      2.232    102.000    110.000      3.667      6.376     -0.288      6.376     -0.288
 303.5000       3.499      3.274      0.529    -45.969     98.251      2.232    101.000    109.000      3.685      6.651     -0.357      6.651     -0.357
 303.6250       3.751      3.526      0.523    -46.013    109.783      2.232    107.000    107.000      3.740      7.007     -0.426      7.007     -0.426
 303.7500       3.890      3.675      0.517    -46.132    114.908      2.232    111.000    106.000      3.819      7.357     -0.482      7.357     -0.482
 303.8750       3.900      3.699      0.516    -46.318    113.182      2.232    115.000    105.000      3.846      7.846     -0.537      7.846     -0.537
 304.0000       3.815      3.644      0.523    -46.566    105.847      2.230    120.000    106.000      3.799      8.454     -0.598      8.454     -0.598
 304.1250       3.659      3.598      0.535    -46.873     93.386      2.230    122.000    107.000      3.728      8.833     -0.650      8.833     -0.650
 304.2500       3.577      3.557      0.536    -47.155     95.097      2.230    118.000    107.000      3.659      8.556     -0.665      8.556     -0.665
 304.3750       3.537      3.510      0.537    -47.298     95.301      2.229    114.000    104.000      3.635      7.501     -0.643      7.501     -0.643
 304.5000       3.525      3.501      0.536    -47.301    101.753      2.229    116.000    102.000      3.629      6.367     -0.631      6.367     -0.631
 304.6250       3.557      3.541      0.533    -47.293    110.758      2.229    119.000    100.000      3.587      5.784     -0.614      5.784     -0.614
 304.7500       3.639      3.613      0.526    -47.370    113.343      2.229    124.000     99.000      3.509      5.939     -0.585      5.939     -0.585
 304.8750       3.651      3.639      0.530    -47.062    108.882      2.229    128.000     99.000      3.461      6.446     -0.538      6.446     -0.538
 305.0000       3.645      3.635      0.528    -46.985    104.882      2.227    130.000    100.000      3.462      6.756     -0.488      6.756     -0.488
 305.1250       3.650      3.631      0.536    -46.847    101.922      2.227    131.000     99.000      3.492      6.778     -0.437      6.778     -0.437
 305.2500       3.680      3.657      0.544    -46.585    102.846      2.225    126.000     91.000      3.527      6.669     -0.396      6.669     -0.396
 305.3750       3.713      3.700      0.545    -46.202    105.701      2.222    119.000     84.000      3.567      6.642     -0.380      6.642     -0.380
 305.5000       3.680      3.684      0.546    -45.743    101.989      2.219    115.000     82.000      3.608      6.759     -0.354      6.759     -0.354
 305.6250       3.702      3.693      0.545    -45.436    104.400      2.217    116.000     82.000      3.654      7.024     -0.328      7.024     -0.328
 305.7500       3.752      3.739      0.549    -45.334    104.628      2.214    118.000     85.000      3.704      7.407     -0.311      7.407     -0.311
 305.8750       3.746      3.747      0.555    -45.283    105.848      2.211    112.000     86.000      3.764      7.781     -0.316      7.781     -0.316
 306.0000       3.684      3.692      0.554    -45.287    105.177      2.209    105.000     87.000      3.833      8.025     -0.332      8.025     -0.332
 306.1250       3.622      3.611      0.545    -45.405     99.391      2.209    106.000     87.000      3.889      8.212     -0.335      8.212     -0.335
 306.2500       3.646      3.680      0.542    -45.610     93.955      2.207    108.000     87.000      3.920      8.540     -0.354      8.540     -0.354
 306.3750       3.779      3.738      0.535    -45.601     90.625      2.207    110.000     88.000      3.945      9.065     -0.383      9.065     -0.383
 306.5000       3.759      3.737      0.533    -45.540     91.315      2.207    105.000     89.000      4.004      9.450     -0.403      9.450     -0.403
