FORWARD_TEXT_FORMAT_1.0
STDEP =   284.0000
ENDEP =  2717.0000
RLEV  =     0.1250
CURVENAME =  RXO, CALI, RT, RI, AC, GR, DEN, CNL, SP
END
#DEPTH           RXO       CALI         RT         RI         AC         GR        DEN        CNL         SP
 293.0000       0.000      0.000      0.000      0.000      0.000      0.000      0.000     40.000     81.038
 293.1250       0.000      0.000      0.000      0.000      0.000      0.000      0.000     40.000     81.028
 293.2500       0.000      0.000      0.000      0.000      0.000      0.000      0.000     40.000     80.974
 293.3750       0.000      0.000      0.000      0.000      0.000      0.000      0.000     40.000     80.847
 293.5000       0.000      0.000      0.000      0.000      0.000      0.000      0.000     40.000     80.685
 293.6250       0.000      0.000      0.000      0.000      0.000      0.000      0.000     40.000     80.657
 293.7500       0.000      0.000      0.000      0.000      0.000      0.000      0.000     40.000     80.580
 293.8750       0.000      0.000      0.000      0.000      0.000      0.000      0.000     40.000     80.426
 294.0000       0.000      0.000      0.000      0.000      0.000      0.000      0.000     40.000     80.398
 294.1250       0.000      0.000      0.000      0.000      0.000      0.000      0.000     40.000     80.296
 294.2500       0.000      0.000      0.000      0.000      0.000      0.000      0.000     40.000     80.009
 294.3750       0.000      0.000      0.000      0.000      0.000      0.000      0.000     40.000     79.760
 294.5000       0.000      0.000      0.000      0.000      0.000      0.000      0.000     40.000     79.647
 294.6250       0.000      0.000      0.000      0.000      0.000      0.000      0.000     40.000     79.376
 294.7500       0.000      0.000      0.000      0.000      0.000      0.000      0.000     40.000     79.043
 294.8750       0.000      0.000      0.000      0.000      0.000      0.000      0.000     40.000     78.782
 295.0000       0.000      0.000      0.000      0.000      0.000      0.000      0.000     40.000     78.469
 295.1250       0.000      0.000      0.000      0.000      0.000      0.000      0.000     40.000     78.112
 295.2500       0.000      0.000      0.000      0.000      0.000      0.000      0.000     40.000     77.724
 295.3750       0.000      0.000      0.000      0.000      0.000      0.000      0.000     40.000     77.328
 295.5000       0.000      0.000      0.000      0.000      0.000      0.000      0.000     40.000     76.932
 295.6250       0.000      0.000      0.000      0.000      0.000      0.000      0.000     40.000     76.553
 295.7500       0.000      0.000      0.000      0.000      0.000      0.000      0.000     40.000     76.110
 295.8750       0.000      0.000      0.000      0.000      0.000      0.000      0.000     40.000     75.609
 296.0000       0.000      0.000      0.000      0.000      0.000      0.000      0.000     40.000     75.150
 296.1250       0.000      0.000      0.000      0.000      0.000      0.000      0.000     40.000     74.668
 296.2500       0.000      0.000      0.000      0.000      0.000      0.000      0.000     40.000     74.195
 296.3750       0.000      0.000      0.000      0.000      0.000      0.000      0.000     40.000     73.755
 296.5000       0.000      0.000      0.000      0.000      0.000      0.000      0.000     40.000     73.222
 296.6250       0.000      0.000      0.000      0.000      0.000      0.000      0.000     40.000     72.571
 296.7500       0.000      0.000      0.000      0.000      0.000      0.000      0.000     40.000     72.045
 296.8750       0.000      0.000      0.000      0.000      0.000      0.000      0.000     40.000     71.532
 297.0000       0.000      0.000      0.000      0.000      0.000      0.000      0.000     40.000     70.849
 297.1250       0.000      0.000      0.000      0.000      0.000      0.000      0.000     40.000     70.125
 297.2500       0.000      0.000      0.000      0.000      0.000      0.000      0.000     40.000     69.516
 297.3750       0.000      0.000      0.000      0.000      0.000      0.000      0.000     40.000     68.815
 297.5000       0.000      0.000      0.000      0.000      0.000      0.000      0.000     40.000     68.006
 297.6250       0.000      0.000      0.000      0.000      0.000      0.000      0.000     40.000     67.207
 297.7500       0.000      0.000      0.000      0.000      0.000      0.000      0.000     40.000     66.422
 297.8750       0.000      0.000      0.000      0.000      0.000      0.000      0.000     40.000     65.551
 298.0000       0.000      0.000      0.000      0.000      0.000      0.000      0.000     40.000     64.558
 298.1250       0.000      0.000      0.000      0.000      0.000      0.000      0.000     40.000     63.417
 298.2500       0.000      0.000      0.000      0.000      0.000      0.000      0.000     40.000     62.181
 298.3750       0.000      0.000      0.000      0.000      0.000      0.000      0.000     44.067     60.835
 298.5000       0.000      0.000      0.000      0.000      0.000      0.000      0.000     56.262     59.317
 298.6250       0.000      0.000      0.000      0.000      0.000      0.000      0.000     56.265     57.742
 298.7500       0.000      0.000      0.000      0.000      0.000      0.000      0.000     56.306     56.026
 298.8750       0.000      0.000      0.000      0.000      0.000      0.000      0.000     56.356     54.092
 299.0000       0.000      0.000      0.000      0.000      0.000      0.000      0.000     56.389     51.988
 299.1250       0.000      0.000      0.000      0.000      0.000      0.000      0.000     56.404     49.874
 299.2500       0.000      0.000      0.000      0.000      0.000      0.000      0.000     56.409     47.538
 299.3750       0.000      0.000      0.000      0.000      0.000      0.000      0.000     56.408     44.980
 299.5000       0.000      0.000      0.000      0.000      0.000      0.000      0.000     56.400     42.415
 299.6250       0.000      0.000      0.000      0.000      0.000      0.000      0.000     56.385     39.690
 299.7500       0.000      0.000      0.000      0.000      0.000      0.000      0.000     56.360     36.772
 299.8750       0.000      0.000      0.000      0.000      0.000      0.000      0.000     56.306     33.899
 300.0000       0.000      0.000      0.000      0.000      0.000      0.000      0.000     56.221     31.314
 300.1250       0.000      0.000      0.000      0.000      0.000      0.000      0.000     56.092     28.858
 300.2500       0.000      0.000      0.000      0.000      0.000      0.000      0.000     55.908     26.448
 300.3750       0.000      0.000      0.000      0.000      0.000      0.000      0.000     55.697     24.328
 300.5000       0.000      0.000      0.000      0.000      0.000      0.000      0.000     55.536     22.502
 300.6250       0.000      0.000      0.000      0.000      0.000      0.000      0.000     55.481     20.824
 300.7500       0.000      0.000      0.000      0.000      0.000      0.000      0.000     55.540     19.398
 300.8750       0.000      0.000      0.000      0.000      0.000      0.000      0.000     55.669     18.243
 301.0000       0.000      0.000      0.000      0.000      0.000      0.000      0.000     55.786     17.130
 301.1250       0.000      0.000      0.000      0.000      0.000      0.000      0.000     55.856     16.000
 301.2500       0.000      0.000      0.000      0.000      0.000      0.000      0.000     55.894     15.195
 301.3750       0.000      0.000      0.000      0.000      0.000      0.000      0.000     55.946     14.476
 301.5000       0.000      0.000      0.000      0.000      0.000      0.000      0.000     56.020     13.655
 301.6250       0.000      0.000      0.000      0.000      0.000      0.000      0.000     56.105     12.976
 301.7500       0.000      0.000      0.000      0.000      0.000      0.000      0.000     56.184     12.448
 301.8750       0.000      0.000      0.000      0.000      0.000      0.000      0.000     56.244     11.971
 302.0000       0.000      0.000      0.000      0.000      0.000      0.000      0.000     56.283     11.460
 302.1250       0.000      0.000      0.000      0.000      0.000      0.000      0.000     56.301     11.010
 302.2500       0.000      0.000      0.000      0.000      0.000      0.000      0.000     56.296     10.591
 302.3750       0.000      0.000      0.000      0.000      0.000      0.000      0.000     56.273     10.167
 302.5000       0.000      0.000      0.000      0.000      0.000      0.000      0.000     56.262      9.765
 302.6250       0.000      0.000      0.000      0.000      0.000      0.000      0.000     56.289      9.515
 302.7500       0.000      0.000      0.000      0.000      0.000      0.000      0.000     56.368      9.271
 302.8750       0.000      0.000      0.000      0.000      0.000      0.000      0.000     56.485      8.939
 303.0000       0.000      0.000      0.000      0.000      0.000      0.000      0.000     56.591      8.643
 303.1250       0.000      0.000      0.000      0.000      0.000      0.000      0.000     56.631      8.538
 303.2500       0.000      0.000      0.000      0.000      0.000      0.000      0.000     56.571      8.310
 303.3750       0.000      0.000      0.000      0.000      0.000      0.000      0.000     56.384      8.014
 303.5000       0.000      0.000      0.000      0.000      0.000      0.000      0.000     56.129      7.838
 303.6250       0.000      0.000      0.000      0.000      0.000      0.000      0.000     55.880      7.710
 303.7500       0.000      0.000      0.000      0.000      0.000      0.000      0.000     55.715      7.477
 303.8750       0.000      0.000      0.000      0.000      0.000      0.000      0.000     55.699      7.177
 304.0000       0.000      0.000      0.000      0.000      0.000      0.000      0.000     55.789      7.008
 304.1250       0.000      0.000      0.000      0.000      0.000      0.000      0.000     55.919      6.829
 304.2500       0.000      0.000      0.000      0.000      0.000      0.000      0.000     56.098      6.559
 304.3750       0.000      0.000      0.000      0.000      0.000      0.000      0.000     56.714      6.372
 304.5000       0.000      0.000      0.000      0.000      0.000      0.000      0.000     58.118      6.252
 304.6250       0.000      0.000      0.000      0.000      0.000      0.000      0.000     60.366      6.072
 304.7500       0.000      0.000      0.000      0.000      0.000      0.000      0.000     63.072      5.824
 304.8750       0.000      0.000      0.000      0.000      0.000      0.000      0.000     65.554      5.683
 305.0000       0.000      0.000      0.000      0.000      0.000      0.000      0.000     67.472      5.575
 305.1250       0.000      0.000      0.000      0.000      0.000      0.000      0.000     68.766      5.404
 305.2500       0.000      0.000      0.000      0.000      0.000      0.000      0.000     69.522      5.254
 305.3750       0.000      0.000      0.000      0.000      0.000      0.000      0.000     69.909      5.142
 305.5000       0.000      0.000      0.000      0.000      0.000      0.000      0.000     70.422      5.013
 305.6250       0.000      0.000      0.000      0.000      0.000      0.000      0.000     71.570      4.742
 305.7500       0.000      0.000      0.000      0.000      0.000      0.000      0.000     73.626      4.688
 305.8750       0.000      0.000      0.000      0.000      0.000      0.000      0.000     76.337      4.692
 306.0000       0.000      0.000      0.000      0.000      0.000      0.000      0.000     78.788      4.513
 306.1250       0.000      0.000      0.000      0.000      0.000      0.000      0.000     80.427      4.383
 306.2500       0.000      0.000      0.000      0.000      0.000      0.000      0.000     81.162      4.444
 306.3750       0.000      0.000      0.000      0.000      0.000      0.000      0.000     80.653      4.431
 306.5000       0.000      0.000      0.000      0.000      0.000      0.000      0.000     78.701      4.386
 306.6250       0.000      0.000      0.000      0.000      0.000      0.000      0.000     75.200      4.488
 306.7500       0.000      0.000      0.000      0.000      0.000      0.000      0.000     74.402      4.373
 306.8750       0.000      0.000      0.000      0.000      0.000      0.000      0.000     69.901      4.236
 307.0000       0.000      0.000      0.000      0.000      0.000      0.000      0.000     66.201      4.300
 307.1250       0.000      0.000      0.000      0.000      0.000      0.000      0.000     64.247      4.199
 307.2500       0.000      0.000      0.000      0.000      0.000      0.000      0.000     64.677      3.995
 307.3750       0.000      0.000      0.000      0.000      0.000      0.000      0.000     65.646      3.970
 307.5000       0.000      0.000      0.000      0.000      0.000      0.000      0.000     66.367      3.909
 307.6250       0.000      0.000      0.000      0.000      0.000      0.000      0.000     66.776      3.728
 307.7500       0.000      0.000      0.000      0.000      0.000      0.000      0.000     66.901      3.743
 307.8750       0.000      0.000      0.000      0.000      0.000      0.000      0.000     66.691      3.807
