FORWARD_TEXT_FORMAT_1.0
STDEP =   2358.790
ENDEP =   2714.000
RLEV  =      0.125
CURVENAME =  AC, C1, C2, CNL, DEN, GR, RI, RT, RXO, SP
END
#DEPTH           AC         C1         C2        CNL        DEN         GR         RI         RT        RXO         SP
2358.790   -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000    -38.040
2358.915   -1599.111  -9999.000  -9999.000  -9999.000  -9999.000  -1564.855  -9999.000  -9999.000  -9999.000    -37.801
2359.040      81.464  -9999.000  -9999.000  -9999.000  -9999.000    118.649  -9999.000  -9999.000  -9999.000    -37.574
2359.165      81.777  -9999.000  -9999.000  -9999.000  -9999.000    114.453  -9999.000  -9999.000  -9999.000    -37.368
2359.290      81.376  -9999.000  -9999.000  -9999.000  -9999.000    112.959  -9999.000  -9999.000  -9999.000    -37.187
2359.415      80.355  -9999.000  -9999.000  -9999.000  -9999.000    115.609  -9999.000  -9999.000  -9999.000    -37.037
2359.540      79.400  -9999.000  -9999.000  -9999.000  -9999.000    118.467  -9999.000  -9999.000  -9999.000    -36.929
2359.665      78.792  -9999.000  -9999.000  -9999.000  -9999.000    118.077  -9999.000  -9999.000  -9999.000    -36.857
2359.790      78.237  -9999.000  -9999.000  -9999.000  -9999.000    115.921  -9999.000  -9999.000  -9999.000    -36.819
2359.915      77.802  -9999.000  -9999.000  -9999.000  -9999.000    117.220  -9999.000  -9999.000  -9999.000    -36.788
2360.040      77.368  -9999.000  -9999.000  -9999.000  -9999.000    120.623  -9999.000  -9999.000  -9999.000    -36.753
2360.165      77.010  -9999.000  -9999.000  -9999.000  -9999.000    122.676  -9999.000  -9999.000  -9999.000    -36.709
2360.290      77.375  -9999.000  -9999.000  -9999.000  -9999.000    122.286  -9999.000  -9999.000  -9999.000    -36.644
2360.415      78.382  -9999.000  -9999.000  -9999.000  -9999.000    120.338  -9999.000  -9999.000  -9999.000    -36.557
2360.540      79.569  -9999.000  -9999.000  -9999.000  -9999.000    124.624  -9999.000  -9999.000  -9999.000    -36.443
2360.665      80.365  -9999.000  -9999.000  -9999.000  -9999.000    134.406  -9999.000  -9999.000  -9999.000    -36.317
2360.790      80.201  -9999.000  -9999.000  -9999.000  -9999.000    143.667  -9999.000  -9999.000  -9999.000    -36.177
2360.915      78.903  -9999.000  -9999.000  -9999.000  -9999.000    146.071  -9999.000  -9999.000  -9999.000    -36.020
2361.040      77.063  -9999.000  -9999.000  -9999.000  -9999.000    139.900  -9999.000  -9999.000  -9999.000    -35.855
2361.165      74.222  -9999.000  -9999.000  -9999.000  -9999.000    127.560  -1657.526  -1656.201  -1654.265    -35.675
2361.290      71.863  -9999.000  -9999.000  -9999.000  -9999.000    117.298     11.700     13.431     19.712    -35.483
2361.415      70.269  -9999.000  -9999.000  -9999.000  -9999.000    110.595     12.541     14.361     27.151    -35.281
2361.540      69.790  -9999.000  -9999.000  -9999.000  -9999.000    105.841     12.728     14.480     27.427    -35.076
2361.665      70.706  -9999.000  -9999.000  -9999.000  -9999.000    102.204     12.146     13.655     16.867    -34.879
2361.790      73.088  -9999.000  -9999.000  -9999.000  -9999.000    103.503     11.150     12.317     10.587    -34.693
2361.915      75.831  -9999.000  -9999.000  -9999.000  -9999.000    106.555     10.095     11.035     12.553    -34.520
2362.040      77.962  -9999.000  -9999.000  -9999.000  -9999.000    109.140      9.158      9.970     11.965    -34.370
2362.165      79.304  -9999.000  -9999.000  -4987.830  -4998.235    114.414      8.412      9.133     10.966    -34.242
2362.290      80.142  -9999.000  -9999.000     23.354      2.551    119.480      7.833      8.466     10.286    -34.147
2362.415      81.064  -9999.000  -9999.000     23.464      2.559    122.494      7.350      7.885      9.722    -34.089
2362.540      82.800  -9999.000  -9999.000     24.054      2.570    129.768      6.877      7.331      8.635    -34.053
2362.665      84.640  -9999.000  -9999.000     24.930      2.575    132.886      6.621      7.039      7.981    -34.060
2362.790      85.919  -9999.000  -9999.000     25.381      2.572    141.823      6.469      6.852      7.978    -34.090
2362.915      86.979  -9999.000  -9999.000     25.437      2.563    147.538      6.357      6.709      8.641    -34.140
2363.040      87.764  -9999.000  -9999.000     25.425      2.552    151.487      6.279      6.599      9.008    -34.191
2363.165      88.278  -9999.000  -9999.000     25.654      2.541    156.203      6.235      6.516      8.076    -34.234
2363.290      89.042  -9999.000  -9999.000     26.109      2.530    155.878      6.172      6.408      5.735    -34.292
2363.415      89.424  -9999.000  -9999.000     26.273      2.528    163.347      6.119      6.298      6.809    -34.345
2363.540      89.625  -9999.000  -9999.000     26.044      2.534    160.684      6.098      6.228      8.087    -34.393
2363.665      89.513  -9999.000  -9999.000     25.588      2.544    159.385      6.113      6.196      8.542    -34.433
2363.790      89.025  -9999.000  -9999.000     25.160      2.556    158.943      6.198      6.235      8.394    -34.473
2363.915      88.230  -9999.000  -9999.000     24.957      2.568    156.891      6.342      6.344      8.271    -34.510
2364.040      87.379  -9999.000  -9999.000     24.969      2.577    158.840      6.435      6.399      8.364    -34.518
2364.165      86.473  -9999.000  -9999.000     25.313      2.582    150.721      6.606      6.564      8.830    -34.505
2364.290      85.394  -9999.000  -9999.000     25.679      2.589    140.888      6.817      6.787      9.294    -34.470
2364.415      84.446  -9999.000  -9999.000     25.820      2.596    131.717      6.957      6.945      9.565    -34.424
2364.540      83.807  -9999.000  -9999.000     25.649      2.598    127.170      6.990      6.993      9.785    -34.359
2364.665      83.594  -9999.000  -9999.000     25.275      2.595    128.210      6.915      6.925     10.189    -34.271
2364.790      83.917  -9999.000  -9999.000     25.041      2.587    128.210      6.726      6.724     10.867    -34.190
2364.915      84.667  -9999.000  -9999.000     25.688      2.582    132.431      6.681      6.680     10.398    -34.123
2365.040      85.136  -9999.000  -9999.000     26.619      2.578    134.159      6.710      6.707      9.827    -34.083
2365.165      85.202  -9999.000  -9999.000     27.162      2.576    136.354      6.829      6.832      9.976    -34.063
2365.290      84.878  -9999.000  -9999.000     26.981      2.579    137.848      6.970      6.983     10.686    -34.082
2365.415      84.376  -9999.000  -9999.000     26.280      2.585    135.419      7.047      7.057     11.122    -34.155
2365.540      84.175  -9999.000  -9999.000     26.005      2.596    125.871      7.015      6.994     10.079    -34.256
2365.665      84.939  -9999.000  -9999.000     27.060      2.604    123.858      6.740      6.673      9.194    -34.371
2365.790      86.106  -9999.000  -9999.000     28.420      2.603    124.754      6.459      6.379      8.946    -34.498
2365.915      87.431  -9999.000  -9999.000     29.331      2.595    131.054      6.231      6.162      8.779    -34.632
2366.040      88.517  -9999.000  -9999.000     29.403      2.584    140.108      6.098      6.045      8.601    -34.763
2366.165      89.119  -9999.000  -9999.000     28.692      2.576    147.538      6.060      6.017      8.544    -34.886
2366.290      89.467  -9999.000  -9999.000     27.781      2.572    150.656      6.045      6.009      8.703    -35.021
2366.415      89.536  -9999.000  -9999.000     27.400      2.566    155.527      6.014      5.985      8.661    -35.160
2366.540      89.586  -9999.000  -9999.000     27.613      2.561    153.903      5.999      5.978      8.515    -35.305
2366.665      89.490  -9999.000  -9999.000     27.871      2.558    154.436      6.008      5.998      8.427    -35.451
2366.790      89.313  -9999.000  -9999.000     27.772      2.558    152.916      6.032      6.034      8.467    -35.593
2366.915      89.132  -9999.000  -9999.000     27.307      2.562    146.538      6.061      6.077      8.662    -35.719
2367.040      88.854  -9999.000  -9999.000     27.115      2.572    148.162      6.105      6.142      9.048    -35.803
2367.165      88.524  -9999.000  -9999.000     28.032      2.584    143.615      6.201      6.257      9.057    -35.883
2367.290      88.158  -9999.000  -9999.000     28.902      2.585    145.772      6.363      6.448      9.576    -35.933
2367.415      87.529  -9999.000  -9999.000     28.984      2.576    146.759      6.615      6.730     10.138    -35.956
2367.540      86.550  -9999.000  -9999.000     28.201      2.568    146.733      6.985      7.130     10.405    -35.960
2367.665      85.181  -9999.000  -9999.000     26.939      2.571    147.253      7.482      7.660     10.506    -35.955
2367.790      83.333  -9999.000  -9999.000     25.838      2.585    144.655      8.059      8.288     11.371    -35.968
2367.915      81.406  -9999.000  -9999.000     25.056      2.595    141.667      8.580      8.875     12.946    -35.977
2368.040      79.799  -9999.000  -9999.000     24.209      2.599    133.120      8.892      9.217     13.093    -36.011
2368.165      78.615  -9999.000  -9999.000     23.627      2.597    129.340      9.022      9.357     12.335    -36.085
2368.290      77.979  -9999.000  -9999.000     23.517      2.594    128.885      8.999      9.337     11.937    -36.199
2368.415      77.903  -9999.000  -9999.000     23.883      2.590    128.794      8.876      9.224     12.533    -36.350
2368.540      78.150  -9999.000  -9999.000     24.452      2.590    134.834      8.758      9.137     12.764    -36.529
2368.665      78.480  -9999.000  -9999.000     24.607      2.589    135.354      8.745      9.182     12.486    -36.731
2368.790      78.685  -9999.000  -9999.000     24.226      2.580    135.718      8.857      9.360     12.351    -36.941
2368.915      78.856  -9999.000  -9999.000     23.654      2.566    136.042      9.037      9.604     12.176    -37.148
2369.040      78.986  -9999.000  -9999.000     23.134      2.555    136.159      9.238      9.868     12.275    -37.349
2369.165      79.000  -9999.000  -9999.000     22.732      2.553    135.614      9.430     10.124     12.878    -37.538
2369.290      78.792  -9999.000  -9999.000     22.269      2.558    133.665      9.599     10.366     13.547    -37.706
2369.415      78.392  -9999.000  -9999.000     21.777      2.555    133.341      9.622     10.439     13.455    -37.860
2369.540      78.368  -9999.000  -9999.000     21.495      2.543    132.496      9.483     10.304     12.524    -38.000
2369.665      78.569  -9999.000  -9999.000     21.703      2.530    134.055      9.309     10.130     11.315    -38.114
2369.790      78.631  -9999.000  -9999.000     22.414      2.521    134.211      9.225     10.060     10.332    -38.204
2369.915      78.207  -8331.085  -8331.118     23.274      2.520    130.041      9.323     10.202     10.299    -38.275
2370.040      77.200      8.640      8.440     23.462      2.527    127.118      9.639     10.600     12.441    -38.326
2370.165      75.436      8.669      8.452     22.006      2.541    120.299     10.200     11.301     15.392    -38.350
2370.290      73.589      8.667      8.436     19.835      2.554    117.324     10.809     12.055     16.184    -38.338
2370.415      71.873      8.666      8.449     17.992      2.559    113.518     11.335     12.707     15.679    -38.298
2370.540      70.543      8.666      8.471     17.007      2.555    109.738     11.668     13.105     15.359    -38.223
2370.665      69.760      8.667      8.474     16.814      2.546    106.880     11.788     13.221     16.086    -38.114
2370.790      69.458      8.670      8.480     16.685      2.537    100.385     11.832     13.266     16.855    -37.990
2370.915      69.149      8.667      8.476     16.048      2.535     99.541     12.077     13.567     17.110    -37.847
2371.040      68.851      8.666      8.474     15.371      2.538     98.385     12.339     13.897     17.271    -37.719
2371.165      68.744      8.666      8.475     15.002      2.541    101.593     12.494     14.112     17.372    -37.606
2371.290      68.829      8.666      8.475     15.067      2.543    105.555     12.379     14.006     17.158    -37.515
2371.415      69.110      8.667      8.474     15.544      2.543    106.971     11.898     13.445     16.561    -37.447
2371.540      69.767      8.670      8.477     16.342      2.542    111.453     11.124     12.502     16.177    -37.384
2371.665      70.687      8.667      8.478     17.501      2.537    110.933     10.202     11.351     15.669    -37.340
2371.790      71.787      8.669      8.479     18.716      2.530    112.648      9.428     10.420     13.684    -37.280
2371.915      72.696      8.668      8.477     19.876      2.522    111.803      8.941      9.858     11.971    -37.216
