FORWARD_TEXT_FORMAT_1.0
STDEP =   288.0000
ENDEP =  2717.0000
RLEV  =     0.1250
CURVENAME =  AC, RT, RI, RXO, CALI, DEN, CNL, GR, SP, RA2, R2M, R025, BZSP
END
#DEPTH            AC         RT         RI        RXO       CALI        DEN        CNL         GR         SP        RA2        R2M       R025       BZSP
 294.2500       0.356      0.152      0.234      4.114     12.610      3.630    167.000      2.234     34.075     -0.017     -0.017     -0.391     34.075
 294.3750       0.358      0.153      0.237      4.064     12.583      3.208    167.000      2.234     34.691     -0.076     -0.076     -0.391     34.691
 294.5000       0.360      0.153      0.246      3.979     12.563      2.695    167.000      2.234     34.753     -0.069     -0.069     -0.391     34.753
 294.6250       0.358      0.154      0.258      3.878     12.562      2.182    167.000      2.234     35.098      0.036      0.036     -0.389     35.098
 294.7500       0.353      0.155      0.222      3.808     12.555      1.670    167.000      2.234     35.258      0.223      0.223     -0.388     35.258
 294.8750       0.340      0.153      0.170      3.793     12.514      1.064    167.000      2.234     35.319      0.432      0.432     -0.386     35.319
 295.0000       0.329      0.145      0.160      3.807     12.500      0.449    167.000      2.234     35.299      0.576      0.576     -0.385     35.299
 295.1250       0.324      0.137      0.240      3.860     12.503     -0.215    167.000      2.234     35.070      0.622      0.622     -0.383     35.070
 295.2500       0.327      0.132      0.368      3.969     12.509     -0.829    167.000      2.234     34.904      0.587      0.587     -0.383     34.904
 295.3750       0.345      0.135      0.408      4.097     12.516     -1.136    167.000      2.234     34.386      0.516      0.516     -0.382     34.386
 295.5000       0.377      0.146      0.405      4.165     12.535     -1.444    167.000      2.234     34.300      0.454      0.454     -0.381     34.300
 295.6250       0.403      0.159      0.295      4.129     12.555     -1.585    167.000      2.234     33.677      0.408      0.408     -0.378     33.677
 295.7500       0.410      0.172      0.334      3.983     12.574     -1.320    167.000      2.234     33.312      0.366      0.366     -0.378     33.312
 295.8750       0.398      0.179      0.412      3.732     12.588     -0.769    167.000      2.234     32.507      0.337      0.337     -0.380     32.507
 296.0000       0.370      0.177      0.363      0.000     12.594     -0.186      0.000      0.000     32.401      0.367      0.367     -0.380     32.401
 296.1250       0.328      0.166      0.330      0.000     12.594      0.225      0.000      0.000     31.885      0.471      0.471     -0.383     31.885
 296.2500       0.302      0.156      0.269      0.000     12.594      0.250      0.000      0.000     31.375      0.622      0.622     -0.384     31.375
 296.3750       0.285      0.144      0.232      0.000     12.589      0.028      0.000      0.000     30.494      0.743      0.743     -0.383     30.494
 296.5000       0.278      0.135      0.224      0.000     12.583     -0.381      0.000      0.000     30.401      0.741      0.741     -0.383     30.401
