FORWARD_TEXT_FORMAT_1.0
STDEP =   333.5000
ENDEP =  2716.8501
RLEV  =     0.1250
CURVENAME =  SP, R2M, R025, CNL, DEN, GR, RT, RI, RXO, AC, C1, C2, BZSP, RA2
END
#DEPTH            SP        R2M       R025        CNL        DEN         GR         RT         RI        RXO         AC         C1         C2       BZSP        RA2
 338.1250      25.938      0.000      0.482  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000     25.938      0.000
 338.2500      23.811      0.045      0.690  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000     23.811      0.045
 338.3750      22.026      0.071      0.954  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000     22.026      0.071
 338.5000      20.545      0.075      1.227  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000     20.545      0.075
 338.6250      19.305      0.077      1.450  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000     19.305      0.077
 338.7500      18.236      0.087      1.611  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000     18.236      0.087
 338.8750      17.221      0.127      1.819  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000     17.221      0.127
 339.0000      16.191      0.089      2.075  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000     16.191      0.089
 339.1250      15.121      0.070      2.345  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000     15.121      0.070
 339.2500      14.010      0.073      2.591  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000     14.010      0.073
 339.3750      12.866      0.071      2.796  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000     12.866      0.071
 339.5000      11.685      0.061      2.979  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000     11.685      0.061
 339.6250      10.490      0.021      3.171  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000  -9999.000     10.490      0.021
