FORWARD_TEXT_FORMAT_1.0
STDEP =   2365.810
ENDEP =   2704.000
RLEV  =      0.125
CURVENAME =  AC, C1, C2, CNL, DEN, GR, RI, RT, RXO, SP
END
#DEPTH           AC         C1         C2        CNL        DEN         GR         RI         RT        RXO         SP
2374.935      88.382      8.181      8.122     27.407      2.519    162.780      6.886      7.006      6.734    -15.811
2375.060      87.667      8.185      8.120     27.478      2.520    161.839      6.657      6.786      6.827    -15.842
2375.185      86.667      8.183      8.121     26.830      2.541    158.987      6.582      6.725      7.871    -15.902
2375.310      85.815      8.179      8.123     26.042      2.569    153.230      6.644      6.799      8.950    -15.981
2375.435      85.283      8.179      8.122     25.588      2.593    145.375      6.796      6.958      9.482    -16.065
2375.560      84.467      8.179      8.119     25.562      2.604    144.299      6.948      7.096      9.575    -16.144
2375.685      84.151      8.181      8.123     25.485      2.606    137.910      7.071      7.195      9.208    -16.221
2375.810      84.138      8.180      8.121     25.221      2.605    133.619      7.178      7.285      9.068    -16.275
2375.935      84.673      8.181      8.121     25.038      2.601    130.095      7.229      7.323      8.885    -16.310
2376.060      85.617      8.183      8.128     25.128      2.592    129.557      7.191      7.269      8.756    -16.333
2376.185      86.785      8.183      8.138     25.593      2.577    134.305      7.054      7.111      8.628    -16.351
2376.310      88.296      8.186      8.141     26.422      2.559    143.250      6.842      6.882      7.784    -16.367
2376.435      89.147      8.186      8.135     27.261      2.537    144.729      6.521      6.530      6.920    -16.357
2376.560      89.683      8.210      8.158     27.867      2.515    145.025      6.247      6.253      6.920    -16.363
2376.685      89.648      8.222      8.168     28.338      2.497    145.025      6.024      6.039      6.650    -16.373
2376.810      89.203      8.222      8.158     28.646      2.488    145.456      5.898      5.926      5.942    -16.381
2376.935      88.672      8.226      8.152     28.711      2.491    146.451      5.888      5.931      5.493    -16.384
2377.060      88.279      8.246      8.206     28.467      2.508    147.124      5.923      5.977      6.777    -16.382
2377.185      88.210      8.250      8.218     28.233      2.532    142.752      6.020      6.082      7.393    -16.382
2377.310      88.496      8.253      8.222     28.385      2.548    141.716      6.089      6.159      7.640    -16.366
2377.435      88.844      8.254      8.224     28.735      2.551    142.039      6.136      6.213      7.464    -16.341
2377.560      88.931      8.253      8.225     28.841      2.540    145.940      6.145      6.228      7.030    -16.317
2377.685      88.677      8.251      8.227     28.330      2.521    153.808      6.124      6.218      6.790    -16.299
2377.810      88.521      8.253      8.225     27.221      2.505    158.180      6.152      6.261      7.554    -16.287
2377.935      87.403      8.254      8.224     26.258      2.502    163.560      6.209      6.336      7.577    -16.293
2378.060      86.151      8.254      8.221     25.860      2.511    162.215      6.351      6.497      7.626    -16.330
2378.185      84.498      8.252      8.220     25.589      2.528    160.803      6.599      6.763      7.887    -16.393
2378.310      82.806      8.250      8.218     25.113      2.547    157.158      6.944      7.132      8.064    -16.481
2378.435      81.585      8.250      8.217     24.345      2.561    149.464      7.359      7.584      8.038    -16.593
2378.560      81.008      8.250      8.224     23.588      2.566    145.429      7.814      8.087      8.533    -16.717
2378.685      80.651      8.253      8.227     23.160      2.567    134.668      8.231      8.529      9.129    -16.860
2378.810      80.074      8.252      8.227     23.067      2.571    134.238      8.608      8.927      9.907    -16.994
2378.935      79.104      8.250      8.224     22.901      2.576    132.879      9.009      9.342     10.424    -17.118
2379.060      77.947      8.252      8.218     22.547      2.582    134.614      9.421      9.765     10.955    -17.226
2379.185      77.054      8.255      8.212     22.089      2.587    141.259      9.831     10.200     11.960    -17.316
